x_m,rho_exact,rhoP_exact,U_exact,Us_exact,p_exact,rho_numerical,rhoP_numerical,U_numerical,Us_numerical,p_numerical
1.005,0.9909708380796743,0.9884440845943395,-0.008576922839433733,-0.0038510483159660365,0.9873591733115441,0.99099649408507,0.9879999999999999,-0.0085379329224494,-0.0038336049355003,0.98742532095976
1.015,0.9911765484764714,0.9889834321470541,-0.008372997223680593,-0.0033421083536356215,0.98764716786706,0.99119879857946,0.989,-0.0083340046698236,-0.0033279744950537,0.98770776020973
1.025,0.9914170810053803,0.989566257060093,-0.008136027213144156,-0.002819978616497483,0.9879839134075323,0.99143984954186,0.99800000000001,-0.0080930249137719,-0.0028048715368361,0.98804410802357
1.035,0.9916914863943982,0.9901902591897921,-0.007866948020194704,-0.0022867197120857033,0.9883680809521574,0.9917190363245,0.99199999999999,-0.0078198228477984,-0.0022710761429142,0.98843348769705
1.045,0.9919986816908186,0.9908529758848247,-0.0075668215774762244,-0.0017444361696731928,0.988798154367146,0.99202967504974,0.992,-0.0075108355067136,-0.0017309596887847,0.98886647026889
1.055,0.9923374545351507,0.9915517917051622,-0.007236832346943388,-0.0011952681346560517,0.989272436349211,0.99237357631065,0.992,-0.0071743893843856,-0.0011846980167129,0.98934562941127
1.065,0.9927064679457486,0.9922839487440202,-0.006878282645331382,-0.0006413829223774997,0.9897890551240479,0.99274624533286,0.99200000000001,-0.0068102166483025,-0.00063440897295309,0.98986477439702
1.075,0.9931042655952667,0.9930465575120568,-0.00649258750450668,-8.49664647243004e-05,0.9903459718333734,0.99314579024293,0.99399999999999,-0.0064198400774272,-8.224773300144e-05,0.9904213176272
1.085,0.9935292775581189,0.9938366083408678,-0.006081269086982778,0.0004717853167476721,0.9909409885813665,0.9935721781917,0.9930000000000001,-0.00600687284831,0.00047023329950132,0.99101524482475
1.095,0.9939798265062574,0.9946509832607716,-0.005645950678640122,0.0010266751771126582,0.9915717571087603,0.99402218484072,0.995,-0.0055698253802808,0.0010202267754962,0.99164208831344
1.105,0.99445413432882,0.9954864683060118,-0.005188350282358389,0.0015775132195968464,0.992235788060348,0.9944959839471,0.99500000000001,-0.0051125097240287,0.0015665040654035,0.99230213900985
1.115,0.9949503291495218,0.9963397661988117,-0.004710273837843956,0.0021221255381005293,0.9929304608093305,0.99499082658183,0.99699999999999,-0.0046352719736789,0.0021065248642265,0.99299160557269
1.125,0.9954664527140952,0.9972075093622231,-0.004213608094410981,0.0026583627966122584,0.9936530337997332,0.99550511028455,0.99600000000002,-0.0041406630978789,0.0026386412624762,0.99370828749191
1.135,0.9960004681186253,0.9980862732104143,-0.0037003131648437964,0.0031841087116561972,0.9944006553660754,0.99603656880128,0.9990000000000001,-0.0036302424481975,0.0031597163048669,0.99444906279854
