y_m,Ux_analytic_m_s,Ux_GPU_GKS_GKP_m_s
0.0078125,-1.2213548111508244e-18,-2.1610290317647e-25
0.0234375,-2.8097057350834654e-18,1.303715276822e-24
0.0390625,-2.2818053073485286e-18,2.6804737259243e-24
0.0546875,3.460955513435482e-18,1.9596068435162e-25
0.0703125,-4.895011681142657e-18,2.5588541893474e-25
0.0859375,-3.111964393610052e-17,1.5075873724876e-24
0.1015625,-4.599138568561432e-17,-7.3407707738448e-24
0.1171875,-1.3262346833470826e-17,-1.1706650940874e-23
0.1328125,7.569192492686861e-18,-1.1108961365145e-23
0.1484375,7.455775555073638e-17,-2.3166661985008e-23
0.1640625,2.984651556794485e-17,-3.333569450894e-23
0.1796875,3.355628523409905e-16,-5.2524524163638e-23
0.1953125,8.478044909796793e-16,-6.7683619645545e-23
0.2109375,2.989634255114281e-15,-5.1599504784854e-23
0.2265625,1.0279278437127292e-14,-1.2909125884416e-24
0.2421875,3.499087175084154e-14,2.3734296659213e-23
0.2578125,1.1523452591213168e-13,9.3007178096653e-13
0.2734375,3.7054825855974225e-13,2.5623484073879e-12
0.2890625,1.1632351904357416e-12,7.0447638223729e-12
0.3046875,3.565550140887712e-12,1.8661576167552e-11
0.3203125,1.0670747161615432e-11,4.8713809705614e-11
0.3359375,3.117793345069037e-11,1.2535629512717e-10
0.3515625,8.894360726809096e-11,3.1733380236774e-10
0.3671875,2.4774160687993346e-10,7.9025327568173e-10
0.3828125,6.737703287465783e-10,1.9342145328664e-09
0.3984375,1.7892165413020673e-09,4.6538849248031e-09
0.4140625,4.639417192229828e-09,1.1004531342134e-08
0.4296875,1.1746953868028615e-08,2.5566999078707e-08
0.4453125,2.904431072282682e-08,5.8352757605441e-08
0.4609375,7.01268582118328e-08,1.3080800342889e-07
0.4765625,1.6535208560331896e-07,2.8795094940029e-07
0.4921875,3.8076103707110686e-07,6.2234733693529e-07
0.5078125,8.563070998095934e-07,1.3203748402352e-06
0.5234375,1.8808699128896442e-06,2.7493638230012e-06
0.5390625,4.035148086598076e-06,5.6177087951863e-06
0.5546875,8.455758118522325e-06,1.1261624410298e-05
0.5703125,1.730854269108368e-05,2.2145322251068e-05
0.5859375,3.46104862058157e-05,4.2709879772555e-05
0.6015625,6.761149534900071e-05,8.0773436064406e-05
0.6171875,0.00012904098690103596,0.00014977308128831
0.6328125,0.00024063580339598142,0.00027224391807763
0.6484375,0.0004384823873247675,0.00048504229230737
0.6640625,0.0007808010296510528,0.00084691516386412
0.6796875,0.0013588305724470586,0.0014490575978499
0.6953125,0.0023113789390194397,0.0024292303770064
0.7109375,0.0038433183181720925,0.0039897618377993
0.7265625,0.006247756912520853,0.0064192626604148
0.7421875,0.009930771092262227,0.010117088727944
0.7578125,0.015436447771505317,0.01561849247081
0.7734375,0.023468668788307282,0.023617085415076
0.7890625,0.034904776821786436,0.034979880444449
0.8046875,0.050795311849295345,0.050749094757209
0.8203125,0.07234378381552704,0.072124468087401
0.8359375,0.10086132929165365,0.10042050195505
0.8515625,0.13769334825659563,0.13699508161712
0.8671875,0.18411885372409087,0.18314950555917
0.8828125,0.2412279780382302,0.24000477315197
0.8984375,0.30978818446409473,0.30836441525919
0.9140625,0.39011425037426495,0.38857917365388
0.9296875,0.4819599129429743,0.48043222395077
0.9453125,0.5844492269368211,0.58306425697233
0.9609375,0.6960626190498559,0.6949548613341
0.9765625,0.814686415483278,0.81397025850168
0.9921875,0.937726076197734,0.93747833632832
