x_m,rho_exact_kg_m3,rho_GPU_GKS_GKP_kg_m3,Ux_exact_m_s,Ux_GPU_GKS_GKP_m_s,p_exact_Pa,p_GPU_GKS_GKP_Pa
0.0025,1.0,0.99999999999731,0.0,6.1111784553653e-10,100000.0,99999.999999623
0.0075,1.0,0.99999999999522,0.0,1.6332597108091e-09,100000.0,99999.999999331
0.0125,1.0,0.99999999998875,0.0,4.1528367587998e-09,100000.0,99999.999998424
0.0175,1.0,0.99999999997308,0.0,1.0050320251763e-08,100000.0,99999.999996231
0.0225,1.0,0.99999999993636,0.0,2.3805604373925e-08,100000.0,99999.99999109
0.0275,1.0,0.99999999985188,0.0,5.541830300933e-08,100000.0,99999.999979263
0.0325,1.0,0.99999999966092,0.0,1.2686947389298e-07,100000.0,99999.999952529
0.0375,1.0,0.99999999923662,0.0,2.8562960012087e-07,100000.0,99999.999893127
0.0425,1.0,0.99999999830994,0.0,6.3236322366268e-07,100000.0,99999.999763391
0.0475,1.0,0.99999999632082,0.0,1.3766233149942e-06,100000.0,99999.999484915
0.0525,1.0,0.999999992125,0.0,2.9465555047296e-06,100000.0,99999.9988975
0.0575,1.0,0.99999998342836,0.0,6.2005425122049e-06,100000.0,99999.997679969
0.0625,1.0,0.99999996571852,0.0,1.2826958712276e-05,100000.0,99999.995200591
0.0675,1.0,0.99999993029005,0.0,2.6083080484145e-05,100000.0,99999.990240604
0.0725,1.0,0.99999986067399,0.0,5.2131027267757e-05,100000.0,99999.980494354
0.0775,1.0,0.99999972632719,0.0,0.00010239900665971,100000.0,99999.9616858
0.0825,1.0,0.99999947173502,0.0,0.00019765868588215,100000.0,99999.926042904
0.0875,1.0,0.9999989980406,0.0,0.00037489893523238,100000.0,99999.859725728
0.0925,1.0,0.9999981328344,0.0,0.00069862951608615,100000.0,99999.738597038
0.0975,1.0,0.99999658173975,0.0,0.0012789961707107,100000.0,99999.521444416
0.1025,1.0,0.99999385288784,0.0,0.0023000396921342,100000.0,99999.139407179
0.1075,1.0,0.9999891423906,0.0,0.0040625486580561,100000.0,99998.479943741
0.1125,1.0,0.99998116580033,0.0,0.0070471234996796,100000.0,99997.363238986
0.1175,1.0,0.99996791790263,0.0,0.012004059877568,100000.0,99995.508582839
0.1225,1.0,0.99994634202108,0.0,0.020077100762412,100000.0,99992.488091028
0.1275,1.0,0.99991189171326,0.0,0.032967480451264,100000.0,99987.665383812
0.1325,1.0,0.99985797398808,0.0,0.053142367756731,100000.0,99980.117726126
0.1375,1.0,0.99977527562491,0.0,0.08408720351091,100000.0,99968.54189773
0.1425,1.0,0.99965099388675,0.0,0.13059414015777,100000.0,99951.146857171
0.1475,1.0,0.99946801958735,0.0,0.19906896639589,100000.0,99925.540048578
0.1525,1.0,0.99920415159371,0.0,0.29782749723955,100000.0,99888.618623774
0.1575,1.0,0.9988314521674,0.0,0.437341404947,100000.0,99836.481167645
0.1625,1.0,0.99831587423212,0.0,0.63038576372546,100000.0,99764.378601842
0.1675,1.0,0.99761729558454,0.0,0.89203949958798,100000.0,99666.723488586
0.1725,1.0,0.99669007337584,0.0,1.2394982439676,100000.0,99537.173822514
0.1775,1.0,0.99548418149705,0.0,1.6916778151863,100000.0,99368.800095957
0.1825,1.0,0.99394691792892,0.0,2.2686140523913,100000.0,99154.333473696
0.1875,1.0,0.99202508114831,0.0,2.9906960015268,100000.0,98886.480134923
0.1925,1.0,0.98966743244946,0.0,3.8777981337043,100000.0,98558.275188127
0.1975,1.0,0.98682720420902,0.0,4.9483964541331,100000.0,98163.441076812
0.2025,1.0,0.98346439757237,0.0,6.2187578643859,100000.0,97696.713353998
0.2075,1.0,0.97954764092844,0.0,7.7022812385912,100000.0,97154.100827226
