time_s,TC1_5mm_K,TC2_10mm_K,TC3_15mm_K,TC4_20mm_K,TC5_25mm_rear_wall_K
0.0,316.27,305.89,304.50,299.68,299.081497
0.1,319.16,306.56,304.13,300.13,299.234004
0.2,323.59,308.19,303.96,300.60,299.443626
0.3,328.33,309.36,304.90,300.69,299.704674
0.4,334.27,309.66,305.36,301.02,299.994041
0.5,341.33,310.25,306.40,301.61,300.288615
0.6,349.16,310.80,306.84,302.69,300.583313
0.7,357.17,311.36,308.62,303.34,300.853091
0.8,365.16,311.92,309.51,304.12,300.977864
0.9,373.01,312.42,309.39,304.75,300.863776
1.0,380.51,312.88,308.62,305.67,300.606209
1.1,387.64,314.49,309.61,306.59,300.322404
1.2,394.48,317.47,311.04,307.89,300.037367
1.3,400.96,321.50,311.68,308.61,299.752885
1.4,406.95,326.04,311.96,309.40,299.469580
1.5,412.69,331.67,312.53,310.19,299.187256
1.6,418.82,337.82,313.20,311.19,298.906227
1.7,425.66,344.39,313.97,311.94,298.641432
1.8,433.50,350.51,314.73,312.33,298.455042
1.9,442.51,359.55,315.74,313.21,298.391964
2.0,452.77,367.23,316.86,313.29,298.401562
2.1,459.48,374.45,318.31,314.34,298.425333
2.2,468.04,378.30,319.71,313.99,298.452144
2.3,477.39,384.95,321.71,315.36,298.482584
2.4,490.50,389.04,324.16,315.80,298.517084
2.5,499.10,395.54,326.83,317.91,298.554892
2.6,510.24,399.44,329.51,318.86,298.595255
2.7,515.95,405.93,332.72,321.67,298.637091
2.8,523.82,409.85,336.26,323.45,298.683970
2.9,528.77,415.78,339.79,325.83,298.745904
3.0,535.97,418.97,343.28,327.93,298.837266
3.1,539.33,424.43,346.82,330.00,298.979741
3.2,543.46,428.10,350.42,332.94,299.192195
3.3,545.91,433.78,353.87,334.65,299.486933
3.4,550.40,437.13,357.15,337.57,299.914511
3.5,554.41,441.97,360.26,341.05,300.547878
3.6,559.41,445.39,363.20,345.58,301.407519
3.7,563.70,450.16,365.96,347.95,302.468376
3.8,568.82,453.80,368.62,350.38,303.683685
3.9,574.35,458.26,371.04,352.61,305.017023
4.0,580.46,462.32,373.28,354.73,306.457462
4.1,586.94,466.86,375.36,356.71,307.979303
4.2,593.13,471.71,377.43,358.62,309.558459
4.3,599.55,475.85,379.49,360.29,311.184106
4.4,604.53,481.93,382.10,361.76,312.768836
4.5,610.72,489.22,384.73,363.02,314.193194
4.6,615.57,496.66,387.13,364.27,315.446196
4.7,620.66,501.93,389.49,365.57,316.598662
4.8,622.49,506.84,392.60,367.21,317.750317
4.9,625.30,511.21,395.99,366.72,318.962972
5.0,626.87,515.03,399.51,367.69,320.231288
5.1,629.49,518.48,403.17,370.96,321.555856
5.2,628.84,521.26,407.09,375.20,322.936194
5.3,628.82,523.43,411.31,377.24,324.355828
5.4,627.34,525.02,415.62,379.78,325.834479
5.5,626.73,526.44,419.73,382.25,327.396680
5.6,624.31,527.57,423.30,384.64,329.012878
5.7,622.65,528.38,428.98,386.92,330.629119
5.8,619.41,529.12,433.66,389.09,332.185899
5.9,617.19,529.78,437.02,391.24,333.648168
6.0,616.88,530.00,440.33,393.07,335.014815
