# Region type :          patch fluid_to_graphite
# Faces  :               2
# Area   :               4.15201242410056137e-04
# Time                   	areaAverage(particleRadiationWallHeatFlux)	areaAverage(particleReflectedWallHeatFlux)	areaAverage(particleStuckWallHeatFlux)	areaAverage(gasConvectiveWallHeatFlux)
2.3900000136255266       	4.20860068837769155e+05	1.53484315321632050e+05	9.96641087667495827e+05	6.24618638444207376e+05
2.3999999844136446       	4.20860068837769155e+05	1.10384037944539901e+05	1.03789338145786081e+06	6.25813472957222722e+05
2.4099999692871736       	4.22663323473272612e+05	9.79858868843372329e+04	1.05304931126964372e+06	5.22745752388453169e+05
2.4200000358227265       	4.22663323473272612e+05	1.34789533326504199e+05	1.02480915250420733e+06	5.14897261657496099e+05
2.4300000352741398       	4.22663323473272612e+05	1.42816344358719623e+05	9.85641212452875101e+05	5.05238212584206660e+05
2.4400000090353351       	4.22663323473272612e+05	1.11195563938669642e+05	9.53968689270499395e+05	5.05140171869185520e+05
2.4499999643790789       	4.22663323473272612e+05	1.17210741966510555e+05	9.34690706224652007e+05	5.07509859905473189e+05
2.4600000109870366       	4.22663323473272612e+05	1.22920081589540656e+05	9.58578177678288543e+05	5.09602267902739986e+05
2.4700000023285829       	4.22663323473272612e+05	1.51651954842611536e+05	9.61271664536643540e+05	5.10948865509070281e+05
2.479999982114697        	4.22663323473272612e+05	1.17097857578120107e+05	9.69066517061075196e+05	5.13096333457418310e+05
2.4899999717471624       	4.22663323473272612e+05	1.11029334573683009e+05	9.19207349277272820e+05	5.16082303378365876e+05
2.4999999740006698       	4.22663323473272612e+05	1.33938583817846462e+05	9.44192701847237186e+05	5.18782277525309240e+05
2.5100000120592214       	4.10690396799211274e+05	1.64869809185809689e+05	9.57874422821120126e+05	5.15637156106941751e+05
2.5199999986613379       	4.10690396799211274e+05	9.52545493960004533e+04	9.39551816520974156e+05	5.12699767815255502e+05
2.5300000351718848       	4.10690396799211274e+05	1.20540335607079716e+05	9.26899214190582861e+05	5.05722674830133677e+05
2.5400000162927765       	4.10690396799211274e+05	1.52971852576227742e+05	9.94090974609555444e+05	5.02446585250863689e+05
2.5499999737688341       	4.10690396799211274e+05	1.54385501485401328e+05	1.00956008316650591e+06	5.02861117279602040e+05
2.5600000134695859       	4.10690396799211274e+05	1.24027443483517331e+05	9.99195548835032852e+05	5.08090579759717337e+05
2.5699999648535052       	4.10690396799211274e+05	1.44197527420675295e+05	9.65317652160429163e+05	5.12243129582721507e+05
2.5800000227479241       	4.10690396799211274e+05	1.29734553893826000e+05	9.64275994571275543e+05	5.13810554359813512e+05
2.5899999863358398       	4.10690396799211274e+05	1.37725565467922192e+05	1.01227004627586831e+06	5.14226783944570750e+05
2.600000022745482        	4.10690396799211274e+05	1.21896644424549551e+05	9.95339684337803279e+05	5.15645455490593333e+05
