time_s,T_K
0.0,299.081497
0.1,299.234004
0.2,299.443626
0.3,299.704674
0.4,299.994041
0.5,300.288615
0.6,300.583313
0.7,300.853091
0.8,300.977864
0.9,300.863776
1.0,300.606209
1.1,300.322404
1.2,300.037367
1.3,299.752885
1.4,299.469580
1.5,299.187256
1.6,298.906227
1.7,298.641432
1.8,298.455042
1.9,298.391964
2.0,298.401562
2.1,298.425333
2.2,298.452144
2.3,298.482584
2.4,298.517084
2.5,298.554892
2.6,298.595255
2.7,298.637091
2.8,298.683970
2.9,298.745904
3.0,298.837266
3.1,298.979741
3.2,299.192195
3.3,299.486933
3.4,299.914511
3.5,300.547878
3.6,301.407519
3.7,302.468376
3.8,303.683685
3.9,305.017023
4.0,306.457462
4.1,307.979303
4.2,309.558459
4.3,311.184106
4.4,312.768836
4.5,314.193194
4.6,315.446196
4.7,316.598662
4.8,317.750317
4.9,318.962972
5.0,320.231288
5.1,321.555856
5.2,322.936194
5.3,324.355828
5.4,325.834479
5.5,327.396680
5.6,329.012878
5.7,330.629119
5.8,332.185899
5.9,333.648168
6.0,335.014815
