time_s,Tw_K_TTRT,Tn1_K,Tcheck_K,Tn2_K,source
1.0,893.8356164383562,390.0,335.0,300.0,Kamps2020_Fig9_MSS7_digitized
1.5,1136.986301369863,455.0,370.0,315.0,Kamps2020_Fig9_MSS7_digitized
2.0,1359.5890410958905,530.0,400.0,330.0,Kamps2020_Fig9_MSS7_digitized
2.5,1561.6438356164383,600.0,420.0,340.0,Kamps2020_Fig9_MSS7_digitized
3.0,1719.1780821917807,670.0,445.0,360.0,Kamps2020_Fig9_MSS7_digitized
3.5,1839.0410958904108,735.0,480.0,375.0,Kamps2020_Fig9_MSS7_digitized
4.0,1924.6575342465756,775.0,510.0,390.0,Kamps2020_Fig9_MSS7_digitized
4.5,1955.4794520547946,845.0,520.0,410.0,Kamps2020_Fig9_MSS7_digitized
5.0,1952.054794520548,880.0,550.0,430.0,Kamps2020_Fig9_MSS7_digitized
5.5,1938.3561643835617,950.0,580.0,440.0,Kamps2020_Fig9_MSS7_digitized
6.0,1931.5068493150686,980.0,610.0,455.0,Kamps2020_Fig9_MSS7_digitized
6.5,1972.6027397260273,1020.0,620.0,470.0,Kamps2020_Fig9_MSS7_digitized
7.0,2041.0958904109589,1030.0,650.0,480.0,Kamps2020_Fig9_MSS7_digitized
7.5,2082.1917808219177,1055.0,670.0,500.0,Kamps2020_Fig9_MSS7_digitized
8.0,2109.5890410958905,1090.0,685.0,510.0,Kamps2020_Fig9_MSS7_digitized
8.5,2143.8356164383563,1125.0,705.0,530.0,Kamps2020_Fig9_MSS7_digitized
9.0,2184.931506849315,1160.0,725.0,540.0,Kamps2020_Fig9_MSS7_digitized
9.5,2246.5753424657532,1195.0,745.0,550.0,Kamps2020_Fig9_MSS7_digitized
10.0,2294.5205479452056,1210.0,760.0,565.0,Kamps2020_Fig9_MSS7_digitized
10.5,2356.1643835616437,1230.0,775.0,580.0,Kamps2020_Fig9_MSS7_digitized
11.0,2424.6575342465753,1265.0,790.0,590.0,Kamps2020_Fig9_MSS7_digitized
11.5,2489.7260273972606,1300.0,810.0,600.0,Kamps2020_Fig9_MSS7_digitized
12.0,2575.3424657534247,1335.0,825.0,610.0,Kamps2020_Fig9_MSS7_digitized
12.5,2664.3835616438355,1370.0,840.0,620.0,Kamps2020_Fig9_MSS7_digitized
13.0,2705.4794520547944,1430.0,860.0,635.0,Kamps2020_Fig9_MSS7_digitized
