time_s,deposited_heat_flux_density_W_m2,reflected_heat_flux_density_W_m2,total_heat_flux_density_W_m2,deposited_particle_count,total_heat_transfer_area_m2,area_scale_coefficient
2.500000008807,0.0,0.0,0.0,0,0.0,0.0
2.5099999918722573,0.0,0.0,0.0,0,0.0,0.0
2.5199999372405917,0.0,0.0,0.0,0,0.0,0.0
2.5300000577045827,0.0,0.0,0.0,0,0.0,0.0
2.5400000151593085,0.0,414.839085813,414.839085813,0,0.0,0.0
2.5500000015332662,754863.02643,170215.392893,925078.419323,605,1.4427693031393574e-06,2.3847426498171197e-09
2.5600000407597983,1711258.38867,650940.319183,2362198.707853,901,2.0260613382561132e-06,2.2486807305839216e-09
2.5699999447577544,1707332.55182,804488.667511,2511821.219331,955,2.036630348811741e-06,2.13259722388664e-09
2.5800000375130998,1694442.77726,658740.05496,2353182.8322199997,1005,2.0635498003684916e-06,2.0532833834512353e-09
2.5900000254299549,1746849.81147,200893.854372,1947743.6658420002,1011,1.9656649783428293e-06,1.9442779212095247e-09
2.5999999617831739,1609014.95963,35240.1598836,1644255.1195136,1014,1.820226998461294e-06,1.7950956592320454e-09
2.6099999428753322,1450669.51397,10295.7743502,1460965.2883202,1014,1.672705366217997e-06,1.6496108148106479e-09
2.61999997616955,1308226.54409,5023.28976553,1313249.83385553,1014,1.5265843558154302e-06,1.5055072542558482e-09
2.6299999478965908,1170530.52839,4366.72656178,1174897.2549517802,1014,1.3838520089848316e-06,1.3647455709909582e-09
2.6399999908595455,1048053.1725,4131.28640386,1052184.45890386,1014,1.2461200640245806e-06,1.2289152505173378e-09
2.6500000404206578,934847.167179,4531.31011903,939378.4772980299,1011,1.1115873803646537e-06,1.0994929578285397e-09
2.6599999394409339,829147.28546,4542.94701316,833690.23247316,1010,9.763573416421423e-07,9.666904372694478e-10
2.6700000176685541,732185.374121,9645.23246691,741830.60658791,995,8.413321666012052e-07,8.455599664333721e-10
2.6799999602957851,641192.639703,25917.6921391,667110.3318421,978,7.159815140767023e-07,7.320874377062396e-10
2.6899999454569303,558702.372434,38964.6938314,597667.0662654,942,5.979507022857433e-07,6.347671998787084e-10
2.7000000406589355,482086.669688,74690.9455793,556777.6152673,894,4.901430088466441e-07,5.4825839915732e-10
2.7100000341381238,410235.642719,74239.8486115,484475.4913305,847,3.937103087992e-07,4.6482917213600943e-10
2.7199999619991884,345429.865265,94450.7914187,439880.6566837,775,3.0646657478428097e-07,3.9544074165713675e-10
2.7300000243832634,283825.887675,119326.031682,403151.91935700004,687,2.2468103111350501e-07,3.270466246193668e-10
2.739999937859992,226995.500284,155156.560926,382152.06121,592,1.5603507108608028e-07,2.6357275521297344e-10
2.750000050398238,176576.444437,199738.554918,376314.999355,454,1.0116325199760468e-07,2.2282654625023057e-10
2.7600000208370319,129284.505498,266335.251781,395619.757279,315,6.078457204239385e-08,1.929668953726789e-10
2.7699999470967573,81934.2889837,333070.823629,415005.1126127,194,2.792603837065144e-08,1.439486513951105e-10
2.780000013571732,49983.8787918,490874.546506,540858.4252978,115,6.536634344911363e-08,5.684029865140316e-10
2.7900000511601579,176941.663542,1351340.71395,1528282.3774919999,328,9.723183893584064e-07,2.964385333409776e-09
2.7999999423515445,406538.272564,1465812.74454,1872351.017104,404,1.1206578847122728e-06,2.773905655228398e-09
2.8099999547839363,444435.104916,1064101.60874,1508536.713656,411,9.082719998332323e-07,2.2099075421733146e-09
2.8200000127715223,430306.429356,498334.710264,928641.13962,393,7.302809308384894e-07,1.858221198062314e-09
2.8300000331472712,398038.867078,339071.186178,737110.0532559999,378,5.764455295320658e-07,1.5249881733652537e-09
2.8399999375448499,324758.263131,356449.635515,681207.898646,345,3.7249128581606783e-07,1.079684886423385e-09
2.849999984386852,267369.356765,429059.515054,696428.871819,308,2.874822087051143e-07,9.333837944971244e-10
2.8600000417780049,223153.516842,638759.782988,861913.2998299999,272,2.1461342214479373e-07,7.890199343558593e-10
2.869999983166112,203442.871582,716156.229484,919599.1010660001,263,2.363624815870935e-07,8.987166600269714e-10
2.8800000426173953,192489.798332,849729.185866,1042218.984198,272,2.3207054766771762e-07,8.532005428960207e-10
