record_type,time_s,TC1_temperature_K,TC1_depth_mm,TC2_temperature_K,TC2_depth_mm
measured,0,316.27,5,305.89,10
measured,0.10000000000000001,319.16,5,306.56,10
measured,0.20000000000000001,323.59,5,308.19,10
measured,0.29999999999999999,328.33,5,309.36,10
measured,0.40000000000000002,334.27,5,309.66,10
measured,0.5,341.33,5,310.25,10
measured,0.59999999999999998,349.16,5,310.8,10
measured,0.69999999999999996,357.17,5,311.36,10
measured,0.80000000000000004,365.16,5,311.92,10
measured,0.90000000000000002,373.01,5,312.42,10
measured,1,380.51,5,312.88,10
measured,1.1000000000000001,387.64,5,314.49,10
measured,1.2,394.48,5,317.47,10
measured,1.3,400.96,5,321.5,10
measured,1.3999999999999999,406.95,5,326.04,10
measured,1.5,412.69,5,331.67,10
measured,1.6000000000000001,418.82,5,337.82,10
measured,1.7,425.66,5,344.39,10
measured,1.8,433.5,5,350.51,10
measured,1.8999999999999999,442.51,5,359.55,10
measured,2,452.77,5,367.23,10
measured,2.1000000000000001,459.48,5,374.45,10
measured,2.2000000000000002,468.04,5,378.3,10
measured,2.2999999999999998,477.39,5,384.95,10
measured,2.3999999999999999,490.5,5,389.04,10
measured,2.5,499.1,5,395.54,10
measured,2.6000000000000001,510.24,5,399.44,10
measured,2.7000000000000002,515.95,5,405.93,10
measured,2.7999999999999998,523.82,5,409.85,10
measured,2.8999999999999999,528.77,5,415.78,10
measured,3,535.97,5,418.97,10
measured,3.1000000000000001,539.33,5,424.43,10
measured,3.2000000000000002,543.46,5,428.1,10
measured,3.2999999999999998,545.91,5,433.78,10
measured,3.3999999999999999,550.4,5,437.13,10
measured,3.5,554.41,5,441.97,10
measured,3.6000000000000001,559.41,5,445.39,10
measured,3.7000000000000002,563.7,5,450.16,10
measured,3.7999999999999998,568.82,5,453.8,10
measured,3.8999999999999999,574.35,5,458.26,10
measured,4,580.46,5,462.32,10
measured,4.0999999999999996,586.94,5,466.86,10
measured,4.2000000000000002,593.13,5,471.71,10
measured,4.2999999999999998,599.55,5,475.85,10
measured,4.4000000000000004,604.53,5,481.93,10
measured,4.5,610.72,5,489.22,10
measured,4.5999999999999996,615.57,5,496.66,10
measured,4.7000000000000002,620.66,5,501.93,10
measured,4.7999999999999998,622.49,5,506.84,10
measured,4.9000000000000004,625.3,5,511.21,10
measured,5,626.87,5,515.03,10
measured,5.0999999999999996,629.49,5,518.48,10
measured,5.2000000000000002,628.84,5,521.26,10
measured,5.2999999999999998,628.82,5,523.43,10
measured,5.4000000000000004,627.34,5,525.02,10
measured,5.5,626.73,5,526.44,10
measured,5.5999999999999996,624.31,5,527.57,10
measured,5.7000000000000002,622.65,5,528.38,10
measured,5.7999999999999998,619.41,5,529.12,10
measured,5.9000000000000004,617.19,5,529.78,10
measured,6,616.88,5,530,10
coldWall,1.5,412.689999719,5,334.763999827,10
coldWall,1.5099999951214076,412.689999719,5,334.763999827,10
coldWall,1.5200000254848507,412.490886141,5,336.137189666,10
coldWall,1.5300000011460491,412.295636858,5,337.257443631,10
coldWall,1.5400000137899728,412.113206163,5,338.204241622,10
coldWall,1.5500000324527383,411.958561709,5,339.027766991,10
coldWall,1.5599999975182131,411.848796037,5,339.760744791,10
coldWall,1.5700000138629662,411.799336045,5,340.425178295,10
coldWall,1.5799999842297094,411.821881867,5,341.036311041,10
coldWall,1.59000000265953,411.92373531,5,341.605021737,10
coldWall,1.6000000221555766,412.109017642,5,342.139290384,10
coldWall,1.6099999973662908,412.383342699,5,342.645143613,10
coldWall,1.6199999835647318,412.74877046,5,343.127258449,10
coldWall,1.6299999917980879,413.203294113,5,343.589360178,10
coldWall,1.6399999731926767,413.741535864,5,344.034493234,10
coldWall,1.6499999831239105,414.355979213,5,344.465210512,10
coldWall,1.6599999756720412,415.038133517,5,344.883589191,10
coldWall,1.6699999658114617,415.779523194,5,345.291503939,10
coldWall,1.6799999890663206,416.571891288,5,345.690640302,10
coldWall,1.6899999913565775,417.407689151,5,346.08247814,10
coldWall,1.7000000170528173,418.280199172,5,346.468325986,10
coldWall,1.7100000115737632,419.189680567,5,346.849347392,10
coldWall,1.7200000100452284,420.136766647,5,347.226581229,10
coldWall,1.7300000225965306,421.120844736,5,347.60095871,10
coldWall,1.7399999716705126,422.140736096,5,347.973302365,10
coldWall,1.7500000336261319,423.193376588,5,348.344350445,10
coldWall,1.7599999751132831,424.274650921,5,348.714759314,10
coldWall,1.7700000038023469,425.37991344,5,349.085107333,10
coldWall,1.7799999765040364,426.504827644,5,349.455923764,10
coldWall,1.789999969944541,427.646049139,5,349.827871502,10
coldWall,1.7999999694199884,428.800061471,5,350.20133272,10
coldWall,1.8099999947099925,429.969601493,5,350.576632281,10
coldWall,1.8199999938272469,431.157848524,5,350.954058292,10
coldWall,1.82999997029696,432.365945654,5,351.33386852,10
coldWall,1.8400000071902864,433.59289966,5,351.716286072,10
coldWall,1.8499999910801757,434.836283679,5,352.101506061,10
coldWall,1.8600000277826365,436.092917936,5,352.489698936,10
coldWall,1.8699999862961931,437.360314018,5,352.880904566,10
coldWall,1.8799999654623909,438.636709042,5,353.275237723,10
coldWall,1.8900000172808737,439.918566115,5,353.672819122,10
coldWall,1.899999977555995,441.202817285,5,354.073740396,10
coldWall,1.9099999926702389,442.493772714,5,354.478066483,10
