temperature_K,smoothed_thermal_diffusivity_m2_s,Cp_J_kg_K,thermal_conductivity_W_m_K
315,3.437202041401e-05,710.00000000,43.92744209
340,3.035860639186e-05,710.00000000,38.79829897
365,2.702188857888e-05,710.00000000,34.53397360
390,2.431804802715e-05,710.00000000,31.07846538
415,2.220326578880e-05,710.00000000,28.37577368
440,2.063372291594e-05,710.00000000,26.36989789
465,1.956560046067e-05,710.00000000,25.00483739
490,1.895507947511e-05,710.00000000,24.22459157
515,1.875834101136e-05,710.00000000,23.97315981
540,1.893156612154e-05,710.00000000,24.19454150
565,1.942845630572e-05,710.00000000,24.82956716
590,2.010502821692e-05,710.00000000,25.69422606
615,2.068964974032e-05,710.00000000,26.44137237
640,2.095231321368e-05,710.00000000,26.77705629
665,2.088235073850e-05,710.00000000,26.68764424
690,2.053464155697e-05,710.00000000,26.24327191
715,2.007157168087e-05,710.00000000,25.65146861
740,1.975141350970e-05,710.00000000,25.24230647
765,1.983580075574e-05,710.00000000,25.35015337
790,2.058636713126e-05,710.00000000,26.30937719
815,2.226474634853e-05,710.00000000,28.45434583
