temperature_component,time_s,particle_count,temperature_median_K,temperature_mean_K,temperature_p25_K,temperature_p75_K
bottomLayer,1.5200000254848507,455,3077.66273421,3066.13605241,3012.9572588,3124.46366967
topLayer,1.5200000254848507,455,3096.83140701,3092.89464996,3047.47594949,3144.25981191
enthalpyMean,1.5200000254848507,455,3148.74625224,3137.20665411,3113.55852492,3169.91700257
bottomLayer,1.5300000011460491,1566,3000.38500149,2999.27766252,2942.82427188,3056.69662339
topLayer,1.5300000011460491,1566,3105.66651515,3102.25588438,3072.07900139,3134.59326653
enthalpyMean,1.5300000011460491,1566,3124.22081422,3106.9132301,3071.55220983,3155.85751154
bottomLayer,1.5400000137899728,2157,2947.34562965,2947.86141175,2891.94856135,3006.13126841
topLayer,1.5400000137899728,2157,3092.87999133,3087.0801128,3059.41721583,3121.27932484
enthalpyMean,1.5400000137899728,2157,3081.48154723,3070.21939638,3016.5847858,3137.91956777
bottomLayer,1.5500000324527383,2308,2917.51783878,2918.591069,2855.15698004,2982.04770767
topLayer,1.5500000324527383,2308,3075.4019963,3068.46147597,3031.99508593,3111.1165594
enthalpyMean,1.5500000324527383,2308,3050.85843026,3042.64972416,2969.10680167,3127.34467136
bottomLayer,1.5599999975182131,2371,2900.25903966,2903.89119327,2830.30536449,2970.86529964
topLayer,1.5599999975182131,2371,3061.91692177,3053.12157499,3008.75615442,3098.27688953
enthalpyMean,1.5599999975182131,2371,3029.38713349,3025.93221677,2937.31139294,3120.86941811
bottomLayer,1.5700000138629662,2440,2894.5441332,2898.91691384,2819.33640512,2967.55070782
topLayer,1.5700000138629662,2440,3055.72912067,3044.49657363,3000.33331233,3089.51325924
enthalpyMean,1.5700000138629662,2440,3021.32123899,3018.79598898,2924.3741124,3117.72211231
bottomLayer,1.5799999842297094,2460,2886.66505944,2894.96480571,2815.81682863,2961.08326962
topLayer,1.5799999842297094,2460,3048.94740516,3037.32582317,2994.51846512,3077.95546125
enthalpyMean,1.5799999842297094,2460,3010.4721502,3013.16219063,2917.58971606,3112.1577835
bottomLayer,1.59000000265953,2418,2879.27135866,2890.59134008,2813.88070514,2952.82034357
topLayer,1.59000000265953,2418,3041.38540929,3030.56090684,2988.9018828,3066.78637676
enthalpyMean,1.59000000265953,2418,3001.12044121,3006.2492311,2913.44150247,3099.26793676
bottomLayer,1.6000000221555766,2376,2874.38366493,2886.05216373,2812.45462841,2942.63663166
topLayer,1.6000000221555766,2376,3035.71472052,3025.83368539,2986.03284343,3057.26890099
enthalpyMean,1.6000000221555766,2376,2993.75261572,2999.36191704,2910.1407547,3083.2889456
bottomLayer,1.6099999973662908,2308,2862.0552283,2877.22894788,2809.40796337,2929.96790238
topLayer,1.6099999973662908,2308,3000.23706046,2993.24594234,2957.45951651,3014.98708808
enthalpyMean,1.6099999973662908,2308,2973.37154976,2982.56956899,2897.87094442,3059.93701618
bottomLayer,1.6199999835647318,2236,2853.18335394,2868.25795837,2805.51401046,2919.27248631
topLayer,1.6199999835647318,2236,2980.83742845,2975.52091657,2940.78167914,2996.67495493
enthalpyMean,1.6199999835647318,2236,2958.94869673,2968.95282151,2888.97602384,3042.00885295
bottomLayer,1.6299999917980879,2182,2846.1495366,2862.02470477,2803.48398233,2908.98413265
