temperature_K,thermal_diffusivity_m2_s
314.606742,3.40322581e-05
334.831461,3.11290323e-05
355.056180,2.91935484e-05
375.280899,2.62903226e-05
395.505618,2.30645161e-05
415.730337,2.11290323e-05
435.955056,2.11290323e-05
453.932584,2.01612903e-05
474.157303,2.01612903e-05
494.382022,1.91935484e-05
516.853933,1.91935484e-05
534.831461,1.79032258e-05
555.056180,1.82258065e-05
577.528090,1.69354839e-05
595.505618,2.30645161e-05
615.730337,2.11290323e-05
635.955056,2.20967742e-05
656.179775,2.11290323e-05
676.404494,2.11290323e-05
696.629213,1.91935484e-05
714.606742,2.01612903e-05
752.808989,1.69354839e-05
773.033708,2.20967742e-05
793.258427,2.20967742e-05
813.483146,2.11290323e-05
