time_ms,T_surface_C
0.00,2100.0
0.25,1933.9
0.50,1859.9
0.75,1806.3
1.00,1827.0
1.25,1857.6
1.50,1897.3
1.75,1909.0
2.00,1934.0
2.25,1929.1
2.50,1938.0
2.75,1952.6
3.00,1941.1
3.25,1947.5
3.50,1959.5
3.75,1951.5
4.00,1953.3
4.25,1952.6
4.50,1960.3
4.75,1955.2
5.00,1962.6
5.25,1972.4
5.50,1967.2
5.75,1975.4
6.00,1972.6
6.25,1975.6
6.50,1978.6
6.75,1980.1
7.00,1985.7
7.25,1988.2
7.50,1984.1
7.75,1992.7
8.00,1988.1
8.25,2000.9
8.50,2003.0
8.75,2005.1
9.00,2009.6
9.25,2010.7
9.50,2013.3
9.75,2010.9
10.00,2014.7
10.25,2024.5
10.50,2028.5
10.75,2028.8
11.00,2037.8
11.25,2023.5
11.50,2029.8
11.75,2027.7
12.00,2034.4
12.25,2046.8
12.50,2042.1
12.75,2036.1
13.00,2042.9
13.25,2046.2
13.50,2029.0
13.75,2030.1
14.00,2036.9
