record_type,time_ms,experiment_surface_temperature_C,cold_wall_contact_layer_temperature_C,cold_wall_contact_layer_temperature_K,cold_enthalpy_equivalent_temperature_C,cold_enthalpy_equivalent_temperature_K,cold_axial_node_mean_temperature_C,cold_axial_node_mean_temperature_K,cold_free_surface_temperature_C,cold_free_surface_temperature_K,cold_profile_active,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2,cold_solidification_contact_age_s
experiment,0.0,2100.0,,,,,,,,,,,,,
experiment,0.25,1933.9,,,,,,,,,,,,,
experiment,0.5,1859.9,,,,,,,,,,,,,
experiment,0.75,1806.3,,,,,,,,,,,,,
experiment,1.0,1827.0,,,,,,,,,,,,,
experiment,1.25,1857.6,,,,,,,,,,,,,
experiment,1.5,1897.3,,,,,,,,,,,,,
experiment,1.75,1909.0,,,,,,,,,,,,,
experiment,2.0,1934.0,,,,,,,,,,,,,
experiment,2.25,1929.1,,,,,,,,,,,,,
experiment,2.5,1938.0,,,,,,,,,,,,,
experiment,2.75,1952.6,,,,,,,,,,,,,
experiment,3.0,1941.1,,,,,,,,,,,,,
experiment,3.25,1947.5,,,,,,,,,,,,,
experiment,3.5,1959.5,,,,,,,,,,,,,
experiment,3.75,1951.5,,,,,,,,,,,,,
experiment,4.0,1953.3,,,,,,,,,,,,,
experiment,4.25,1952.6,,,,,,,,,,,,,
experiment,4.5,1960.3,,,,,,,,,,,,,
experiment,4.75,1955.2,,,,,,,,,,,,,
experiment,5.0,1962.6,,,,,,,,,,,,,
experiment,5.25,1972.4,,,,,,,,,,,,,
experiment,5.5,1967.2,,,,,,,,,,,,,
experiment,5.75,1975.4,,,,,,,,,,,,,
experiment,6.0,1972.6,,,,,,,,,,,,,
experiment,6.25,1975.6,,,,,,,,,,,,,
experiment,6.5,1978.6,,,,,,,,,,,,,
experiment,6.75,1980.1,,,,,,,,,,,,,
experiment,7.0,1985.7,,,,,,,,,,,,,
experiment,7.25,1988.2,,,,,,,,,,,,,
experiment,7.5,1984.1,,,,,,,,,,,,,
experiment,7.75,1992.7,,,,,,,,,,,,,
experiment,8.0,1988.1,,,,,,,,,,,,,
experiment,8.25,2000.9,,,,,,,,,,,,,
experiment,8.5,2003.0,,,,,,,,,,,,,
experiment,8.75,2005.1,,,,,,,,,,,,,
experiment,9.0,2009.6,,,,,,,,,,,,,
experiment,9.25,2010.7,,,,,,,,,,,,,
experiment,9.5,2013.3,,,,,,,,,,,,,
experiment,9.75,2010.9,,,,,,,,,,,,,
experiment,10.0,2014.7,,,,,,,,,,,,,
coldWall,0.0,,2099.996688544503,2373.146688544503,2099.996688544503,2373.146688544503,2099.996688544503,2373.146688544503,2099.996688544503,2373.146688544503,0,3,0.0,0.0,0.0
coldWall,0.04899999999999996,,2099.292930100089,2372.442930100089,2099.908582244095,2373.0585822440953,2099.9085912467285,2373.0585912467286,2099.9965428391056,2373.1465428391057,1,3,3.50567167161814e-05,0.0,4.900001295027323e-05
coldWall,0.09899999999999994,,2094.5885386590794,2367.7385386590795,2099.3201410465167,2372.470141046517,2099.3201275514343,2372.4701275514344,2099.9965428391056,2373.1465428391057,1,3,6.927387576209687e-05,0.0,9.900002623908222e-05
coldWall,0.14899999999999997,,2082.8201289868935,2355.9701289868935,2097.8443494823273,2370.9943494823274,2097.844036942431,2370.994036942431,2099.9965428391056,2373.1465428391057,1,3,0.00010192032685997672,0.0,0.00014899985399097204
coldWall,0.19899999999999995,,2063.809024812799,2336.9590248127993,2095.25005999785,2368.40005999785,2095.445396706248,2368.5953967062483,2099.9965428391056,2373.1465428391057,1,3,0.0001329960700098209,0.0,0.00019899950711987913
coldWall,0.24899999999999992,,2063.0227080902437,2336.1727080902438,2091.32956371104,2364.47956371104,2095.300943372551,2368.450943372551,2099.9965428391056,2373.1465428391057,1,3,0.0001625011052116296,0.0,0.0002489992184564471
coldWall,0.29899999999999993,,2061.9142201958475,2335.0642201958476,2085.7988596444534,2358.9488596444535,2095.093924228536,2368.243924228536,2099.9965428391056,2373.1465428391057,1,3,0.00019043543246540325,0.0,0.00029899959918111563
coldWall,0.349,,2060.4723175097815,2333.6223175097816,2078.597155169516,2351.747155169516,2094.8181217098127,2367.9681217098127,2099.9965428391056,2373.1465428391057,1,3,0.0002167990517711412,0.0,0.00034899997990578413
coldWall,0.39899999999999997,,2058.639304392444,2331.789304392444,2069.4339355204625,2342.5839355204625,2094.46095129376,2367.61095129376,2099.9965428391056,2373.1465428391057,1,3,0.0002415919631288434,0.0,0.00039900036063045263
coldWall,0.44899999999999995,,2056.4472489441187,2329.5972489441187,2063.713351143122,2336.863351143122,2094.0203431396194,2367.1703431396195,2099.9965428391056,2373.1465428391057,1,3,0.00026481416653850997,0.0,0.00044900074135512114
coldWall,0.499,,2053.8610395837522,2327.0110395837523,2063.3847308805393,2336.5347308805394,2093.4864512520817,2366.6364512520818,2099.9965428391056,2373.1465428391057,1,3,0.0002864656620001407,0.0,0.0004990011220797896
